FIPS,NAMELSAD,median_renter_wage
0600000US4209766752,Rush township,41625.0
0600000US4201910472,Butler township,43594.0
0600000US4201932896,Harrisville borough,40500.0
0600000US4201952176,Muddy Creek township,36250.0
0600000US4201132120,Hamburg borough,36250.0
0600000US4206171328,Smithfield township,30833.0
0600000US4213358888,Penn township,48026.0
0600000US4213363288,Railroad borough,68750.0
0600000US4213363840,Red Lion borough,35020.0
0600000US4213369360,Seven Valleys borough,45714.0
0600000US4213370568,Shrewsbury borough,36250.0
0600000US4213372992,Springettsbury township,38410.0
0600000US4213373192,Spring Grove borough,38162.0
0600000US4203975160,Summerhill township,52019.0
0600000US4203975200,Summit township,41016.0
0600000US4200939658,Kimmel township,30000.0
0600000US4212116080,Cooperstown borough,40000.0
0600000US4200581176,Washington township,18333.0
0600000US4200583024,West Franklin township,42143.0
0600000US4212937208,Irwin borough,30479.0
0600000US4212175000,Sugarcreek borough,29125.0
0600000US4213321296,East Hopewell township,50865.0
0600000US4213324936,Fairview township,52302.0
0600000US4213335704,Hopewell township,111563.0
0600000US4213337488,Jackson township,48618.0
0600000US4213345152,Lower Windsor township,33066.0
0600000US4213350328,Monaghan township,51000.0
0600000US4213355112,North Hopewell township,44479.0
0600000US4213357872,Paradise township,46875.0
0600000US4213381352,Washington township,55903.0
0600000US4213385736,Windsor township,55372.0
0600000US4213387056,York township,40345.0
0600000US4213374104,Stewartstown borough,20903.0
0600000US4213383440,West Manheim township,47031.0
0600000US4213384288,West York borough,33046.0
0600000US4213385872,Winterstown borough,33125.0
0600000US4213386640,Wrightsville borough,42986.0
0600000US4213387040,Yoe borough,44464.0
0600000US4207557720,Palmyra borough,42058.0
0600000US4212127832,Frenchcreek township,53516.0
0600000US4207967456,Salem township,0.0
0600000US4207978384,Union township,33500.0
0600000US4207983136,West Hazleton borough,40502.0
0600000US4205705144,Belfast township,36406.0
0600000US4213387048,York city,26589.0
0600000US4213387080,York Haven borough,40385.0
0600000US4206111208,Carbon township,0.0
0600000US4210708200,Branch township,26250.0
0600000US4213314832,Codorus township,50132.0
0600000US4213342968,Lewisberry borough,37813.0
0600000US4213354904,North Codorus township,63106.0
